"csv_nid","csv_fid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"39679","13874","tqh55670_0_1.jpg","public://news/2018/tqh55670_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39679","13875","jaydev-desai_0_1.jpg","public://news/2018/jaydev-desai_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39679","13876","jim_sangston_seal_1.png","public://news/2018/jim_sangston_seal_1.png","image/png","","","1539368592","2018","10"
"39679","13873","justinromberg131023ar200_web_0_1.jpg","public://news/2018/justinromberg131023ar200_web_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39691","13892","img_3784_1.jpg","public://news/2018/img_3784_1.jpg","image/jpeg","","","1539368592","2018","10"
"39691","13893","img_3789_1.jpg","public://news/2018/img_3789_1.jpg","image/jpeg","","","1539368592","2018","10"
"39702","13907","winners_1.jpg","public://news/2018/winners_1.jpg","image/jpeg","","","1539368592","2018","10"
"39702","13908","38862860481_6f3604a345_k_1.jpg","public://news/2018/38862860481_6f3604a345_k_1.jpg","image/jpeg","","","1539368592","2018","10"
"39704","13910","ewb_uganda7_2.jpg","public://news/2018/ewb_uganda7_2.jpg","image/jpeg","","","1539368592","2018","10"
"39704","13911","medshare_2.jpg","public://news/2018/medshare_2.jpg","image/jpeg","","","1539368592","2018","10"
"39704","13912","esi1_2.jpeg","public://news/2018/esi1_2.jpeg","image/jpeg","","","1539368592","2018","10"
"11727","2875","cheeseburgersliders.jpg","public://news/2018/cheeseburgersliders.jpg","image/jpeg","","","1536596193","2018","09"
"11727","2876","cornychili.jpg","public://news/2018/cornychili.jpg","image/jpeg","","","1536596193","2018","09"
"11727","2877","congri.jpg","public://news/2018/congri.jpg","image/jpeg","","","1536596193","2018","09"
"11727","2878","oreo.jpg","public://news/2018/oreo.jpg","image/jpeg","","","1536596193","2018","09"
"11726","2879","forest2.png","public://news/2018/forest2.png","image/png","","","1536596193","2018","09"
"39707","13915","copeland_0_1.jpg","public://news/2018/copeland_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39710","13919","jordan_1.jpg","public://news/2018/jordan_1.jpg","image/jpeg","","","1539368592","2018","10"
"39717","13924","davis_haiti2_1.jpg","public://news/2018/davis_haiti2_1.jpg","image/jpeg","","","1539368592","2018","10"
