"csv_fid","csv_pid","csv_alt","csv_mime","csv_filename","csv_filepath","csv_status","csv_title","csv_date","csv_caption","csv_date_y","csv_date_m"
"17734","3633","","image/jpeg","17c10201-p25-001.jpg","public://cta/17c10201-p25-001.jpg","Permanent","","1600087635","","2020","09"
"17735","3634","","image/jpeg","n18c10200-p18-008.jpg","public://cta/n18c10200-p18-008.jpg","Permanent","","1600088312","","2020","09"
"17736","3635","","image/jpeg","17c10202-p7-001.jpg","public://cta/17c10202-p7-001.jpg","Permanent","","1600088312","","2020","09"
"17732","3636","","image/jpeg","18c10202-p9-003.jpg","public://cta/18c10202-p9-003.jpg","Permanent","","1600087315","","2020","09"
"17750","3637","","image/jpeg","port.jpg","public://cta/port.jpg","Permanent","","1600097155","","2020","09"
"17737","3638","","image/jpeg","n18c10302-p49-a087.jpg","public://cta/n18c10302-p49-a087.jpg","Permanent","","1600088312","","2020","09"
"17738","3639","","image/jpeg","original.jpg","public://cta/original.jpg","Permanent","","1600088312","","2020","09"
"18130","4216","","image/jpeg","chiamaka_previewimg.jpg","public://cta/chiamaka_previewimg.jpg","Permanent","","1610571695","","2021","01"
"18130","4216","","image/jpeg","chiamaka_previewimg.jpg","public://cta/chiamaka_previewimg.jpg","Permanent","","1610571695","","2021","01"
"18110","4219","","image/jpeg","img_0400_8.jpg","public://cta/img_0400_8.jpg","Permanent","","1610467023","","2021","01"
"18110","4219","","image/jpeg","img_0400_8.jpg","public://cta/img_0400_8.jpg","Permanent","","1610467023","","2021","01"
"18111","4220","","image/jpeg","jamel_hero2.jpg","public://cta/jamel_hero2.jpg","Permanent","","1610467341","","2021","01"
"18111","4220","","image/jpeg","jamel_hero2.jpg","public://cta/jamel_hero2.jpg","Permanent","","1610467341","","2021","01"
"18112","4221","","image/jpeg","craig-naia-butler-_space_station1200.jpg","public://cta/craig-naia-butler-_space_station1200.jpg","Permanent","","1610467341","","2021","01"
"18112","4221","","image/jpeg","craig-naia-butler-_space_station1200.jpg","public://cta/craig-naia-butler-_space_station1200.jpg","Permanent","","1610467341","","2021","01"
"18113","4222","","image/jpeg","nunnally-hero-final.jpg","public://cta/nunnally-hero-final.jpg","Permanent","","1610467341","","2021","01"
"18113","4222","","image/jpeg","nunnally-hero-final.jpg","public://cta/nunnally-hero-final.jpg","Permanent","","1610467341","","2021","01"
"18129","4223","","image/jpeg","wonyalucas_hero.jpg","public://cta/wonyalucas_hero.jpg","Permanent","","1610570134","","2021","01"
