"csv_fid","csv_nid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"17142","42700","ethos-webhero_2.png","public://news/featured/header/ethos-webhero_2.png","image/png","","","1581961284","2020","02"
"17123","42701","nae-2020-feat_1200.png","public://news/featured/header/nae-2020-feat_1200.png","image/png","","","1581437276","2020","02"
"17119","42698","alexafund_alt2_rev_1.png","public://news/featured/header/alexafund_alt2_rev_1.png","image/png","","","1581346683","2020","02"
"17106","42694","chbe_career.png","public://news/featured/header/chbe_career.png","image/png","","","1580484057","2020","01"
"17088","42690","softrobotics-webhero.png","public://news/featured/header/softrobotics-webhero.png","image/png","","","1580138843","2020","01"
"17076","42688","edwin_square.jpg","public://news/featured/header/edwin_square.jpg","image/jpeg","","","1579630421","2020","01"
"17086","42686","alahnasmith_clark_edit.png","public://news/featured/header/alahnasmith_clark_edit.png","image/png","","","1579899360","2020","01"
"17048","42677","in_memoriam_john_young_banner.jpg","public://news/featured/header/in_memoriam_john_young_banner_0.jpg","image/jpeg","","","1578064188","2020","01"
"17031","42672","couch.png","public://news/featured/header/couch.png","image/png","","","1576687652","2019","12"
"17022","42668","mse-sherman_feat-1200_a.png","public://news/featured/header/mse-sherman_feat-1200_a.png","image/png","","","1576526033","2019","12"
"17016","42665","research.gif","public://news/featured/header/research.gif","image/gif","","","1575904379","2019","12"
"17040","42647","gsgc_1200.png","public://news/featured/header/gsgc_1200.png","image/png","","","1577996331","2020","01"
"16896","42636","clark-sicard-feat_final-logo.png","public://news/featured/header/clark-sicard-feat_final-logo.png","image/png","","","1573437931","2019","11"
"16936","42642","poultry-1200.png","public://news/featured/header/poultry-1200.png","image/png","","","1574087349","2019","11"
"16843","42633","walton_plain.png","public://news/featured/header/walton_plain.png","image/png","","","1572539330","2019","10"
"16811","42625","inventurek12_crose_feat.png","public://news/featured/header/inventurek12_crose_feat.png","image/png","","","1571679834","2019","10"
"16793","42622","nickb_170827_0652_1.jpg","public://news/featured/header/nickb_170827_0652_1.jpg","image/jpeg","","","1571321790","2019","10"
"16788","42621","original_1.jpg","public://news/featured/header/original_1_0.jpg","image/jpeg","","","1571151140","2019","10"
"16786","42620","gettyimages-bath.scale_.jpg","public://news/featured/header/gettyimages-bath.scale_.jpg","image/jpeg","","","1571144030","2019","10"
"16754","42611","original.jpg","public://news/featured/header/original.jpg","image/jpeg","","","1569597982","2019","09"
"16745","42608","upcp-feat_rosenstein.jpg","public://news/featured/header/upcp-feat_rosenstein.jpg","image/jpeg","","","1569244949","2019","09"
"16711","42600","2020-ug-ranking_final.png","public://news/featured/header/2020-ug-ranking_final.png","image/png","","","1567700617","2019","09"
"16689","42596","foenewbanernew.jpg","public://news/featured/header/foenewbanernew.jpg","image/jpeg","","","1567102381","2019","08"
"16714","42595","rozell_and_stanley_0.jpg","public://news/featured/header/rozell_and_stanley_0.jpg","image/jpeg","","","1567714681","2019","09"
"16679","42593","program.jpg","public://news/featured/header/program.jpg","image/jpeg","","","1566827385","2019","08"
"16674","42589","jame-mcconville-header.jpeg","public://news/featured/header/jame-mcconville-header.jpeg","image/jpeg","","","1565703834","2019","08"
"16663","42588","19c10200-p29-005-1024x694.jpg","public://news/featured/header/19c10200-p29-005-1024x694.jpg","image/jpeg","","","1565636623","2019","08"
"16628","42580","tiny_robot.jpg","public://news/featured/header/tiny_robot_3.jpg","image/jpeg","","","1563906647","2019","07"
"16611","42576","nxtfrontiers_santangelo.png","public://news/featured/header/nxtfrontiers_santangelo.png","image/png","","","1563197477","2019","07"
"16600","42572","zl_bus_card.jpg","public://news/featured/header/zl_bus_card.jpg","image/jpeg","","","1562334291","2019","07"
"16599","42571","original.png","public://news/featured/header/original.png","image/png","","","1562331360","2019","07"
"16591","42568","pecase_feat-1.png","public://news/featured/header/pecase_feat-1.png","image/png","","","1562171036","2019","07"
"16619","42567","4y4a8806_1200-cropped.png","public://news/featured/header/4y4a8806_1200-cropped_0.png","image/png","","","1563813430","2019","07"
"16559","42561","img_9124crop.jpg","public://news/featured/header/img_9124crop.jpg","image/jpeg","","","1561560030","2019","06"
"16567","42563","grad-ebook_webheader.png","public://news/featured/header/grad-ebook_webheader.png","image/png","","","1561724654","2019","06"
"16532","42555","marvis3.jpg","public://news/featured/header/marvis3.jpg","image/jpeg","","","1560779022","2019","06"
"16537","42557","zlmse.jpg","public://news/featured/header/zlmse.jpg","image/jpeg","","","1560790973","2019","06"
